unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume
1640325600,12/24/2021 6:00,BTC/USD,51019.94,51021.19,50771,50945.22,29.57664945,1506788.913
1640322000,12/24/2021 5:00,BTC/USD,50989.42,51052.87,50833.2,51027.65,45.4343471,2318407.962
1640318400,12/24/2021 4:00,BTC/USD,51060.35,51134.86,50946.88,50996.01,54.08881974,2758313.992
1640314800,12/24/2021 3:00,BTC/USD,51105,51179.73,50909,51068.03,84.46177336,4313296.376
1640311200,12/24/2021 2:00,BTC/USD,51378.7,51533,51050,51099.96,132.2230763,6756593.912
1640307600,12/24/2021 1:00,BTC/USD,50908.85,51377.23,50870.18,51368.5,144.5676995,7426225.871
1640304000,12/24/2021 0:00,BTC/USD,50850,51000,50660.83,50907.78,26.65428512,1356910.483
1640300400,12/23/2021 23:00,BTC/USD,50784.38,50869.11,50555,50850,29.89631166,1520227.448
1640296800,12/23/2021 22:00,BTC/USD,50876.32,51007,50728.51,50772.74,23.72628033,1204648.262
1640293200,12/23/2021 21:00,BTC/USD,50980.92,51015.2,50675.57,50841.77,75.9371137,3860777.269
1640289600,12/23/2021 20:00,BTC/USD,51170.36,51196.66,50742,50948.85,100.4857815,5119635.01
1640286000,12/23/2021 19:00,BTC/USD,50595.54,51386.66,50504.73,51144.77,181.1348303,9264099.235
1640282400,12/23/2021 18:00,BTC/USD,50080.13,50793.2,50080.13,50576.36,160.815232,8133449.066
1640278800,12/23/2021 17:00,BTC/USD,49111.18,50188.88,49027.15,50055.03,220.7283149,11048562.43
1640275200,12/23/2021 16:00,BTC/USD,48851.08,49166.1,48685.54,49111.18,105.5111575,5181777.449
1640271600,12/23/2021 15:00,BTC/USD,48621.95,48852.94,48573.31,48839.27,79.50892688,3883157.947
1640268000,12/23/2021 14:00,BTC/USD,48625.12,48718.12,48483.42,48621.62,68.12775015,3312481.579
1640264400,12/23/2021 13:00,BTC/USD,48648.89,48883.25,48565.83,48624.5,65.82448181,3200682.516
1640260800,12/23/2021 12:00,BTC/USD,48443.61,48809,48286.3,48629.42,64.42222377,3132815.377
1640257200,12/23/2021 11:00,BTC/USD,48456.83,48568.42,48258.99,48406.56,59.21633401,2866459.025
1640253600,12/23/2021 10:00,BTC/USD,48398.26,48495.07,48255.42,48439.53,47.82645217,2316690.865
1640250000,12/23/2021 9:00,BTC/USD,48358.94,48444.8,48186.52,48398.26,31.69846348,1534150.477
1640246400,12/23/2021 8:00,BTC/USD,48160.21,48381.95,48083.87,48376.15,29.199912,1412579.323
1640242800,12/23/2021 7:00,BTC/USD,48506.97,48536.06,48054.67,48157.22,44.49413681,2142713.935
1640239200,12/23/2021 6:00,BTC/USD,48382.34,48523.86,48300,48523.86,40.03580921,1942692.001
1640235600,12/23/2021 5:00,BTC/USD,48390.36,48585.29,48265.93,48414.14,12.54161388,607191.4502
1640232000,12/23/2021 4:00,BTC/USD,48535.74,48595.77,48372.36,48376.75,18.90037069,914338.5078
1640228400,12/23/2021 3:00,BTC/USD,48378.71,48578.79,48220.87,48558.3,24.06576831,1168592.797
1640224800,12/23/2021 2:00,BTC/USD,48468.04,48748.03,48307.45,48359.05,79.13850782,3827063.057
1640221200,12/23/2021 1:00,BTC/USD,48268.33,48505.88,48100,48499.88,45.31658364,2197848.869
1640217600,12/23/2021 0:00,BTC/USD,48618.99,48689.03,48051.1,48313.84,106.80567,5160192.053
1640214000,12/22/2021 23:00,BTC/USD,49020.47,49020.47,48571.01,48618.99,26.75921694,1301006.101
1640210400,12/22/2021 22:00,BTC/USD,49083,49099.56,48826.12,49011.07,29.82955446,1461978.382
1640206800,12/22/2021 21:00,BTC/USD,48976.99,49168.84,48884.23,49080.71,26.45867147,1298610.381
1640203200,12/22/2021 20:00,BTC/USD,48945.79,49159.6,48885.85,48979.03,33.78712806,1654860.759
1640199600,12/22/2021 19:00,BTC/USD,48592.86,48981.79,48504.18,48952.29,53.25002977,2606710.9
1640196000,12/22/2021 18:00,BTC/USD,48728.49,48858.42,48529.42,48590.59,88.36322898,4293621.43
1640192400,12/22/2021 17:00,BTC/USD,49030.97,49121.19,48711.79,48728.5,40.5264315,1974792.217
1640188800,12/22/2021 16:00,BTC/USD,48897.8,49279.99,48801.2,49032.41,67.59460116,3314326.198
1640185200,12/22/2021 15:00,BTC/USD,48841.93,48932.36,48662.77,48895.34,40.58092453,1984218.102
1640181600,12/22/2021 14:00,BTC/USD,48564.97,48965.65,48564.97,48843.33,54.15584488,2645151.803
1640178000,12/22/2021 13:00,BTC/USD,48590.55,48801.03,48449.87,48584.3,59.93614211,2911955.509
1640174400,12/22/2021 12:00,BTC/USD,49016.75,49152.12,48526.93,48637.64,80.2533282,3903332.486
1640170800,12/22/2021 11:00,BTC/USD,49116.49,49247.07,48873.04,48996.16,51.7242011,2534287.233
1640167200,12/22/2021 10:00,BTC/USD,48946.15,49180.8,48876.55,49114.16,33.35645956,1638274.492
1640163600,12/22/2021 9:00,BTC/USD,49305.23,49354.83,48844.48,48926.8,90.85011213,4445005.266
1640160000,12/22/2021 8:00,BTC/USD,49242.28,49568.09,49142.72,49319.83,60.69352965,2993394.564
1640156400,12/22/2021 7:00,BTC/USD,49098.79,49339.01,49098.79,49279.79,169.6681354,8361210.084
1640152800,12/22/2021 6:00,BTC/USD,48985.48,49249.28,48961.07,49092.18,87.34512457,4287962.578
1640149200,12/22/2021 5:00,BTC/USD,49341.16,49349.52,48941.62,48988.16,36.88450191,1806903.881
1640145600,12/22/2021 4:00,BTC/USD,49281.72,49359.82,49109.51,49340.13,32.05432428,1581564.527
1640142000,12/22/2021 3:00,BTC/USD,49362.43,49471.83,49180,49264.46,17.41187366,857786.5534
1640138400,12/22/2021 2:00,BTC/USD,48831.35,49600,48764.49,49362.44,66.43402098,3279345.375
1640134800,12/22/2021 1:00,BTC/USD,48656.2,48875.42,48624,48853.34,25.10597362,1226510.665
1640131200,12/22/2021 0:00,BTC/USD,48907.75,48998.77,48656.2,48670.81,33.14238297,1613066.624
1640127600,12/21/2021 23:00,BTC/USD,49273.78,49305.47,48871.82,48929.86,36.93923153,1807431.427
1640124000,12/21/2021 22:00,BTC/USD,49120.59,49313,48972.84,49313,53.23634213,2625243.739
1640120400,12/21/2021 21:00,BTC/USD,48599.78,49184.21,48542.03,49108.59,48.81430196,2397201.541
1640116800,12/21/2021 20:00,BTC/USD,48627.29,48801.61,48472.47,48618.92,34.12358407,1659051.804
1640113200,12/21/2021 19:00,BTC/USD,48446.76,48664.49,48349.35,48644.53,21.88549983,1064609.853
1640109600,12/21/2021 18:00,BTC/USD,48647.8,48699.09,48448.97,48473.38,18.05646486,875257.8826
1640106000,12/21/2021 17:00,BTC/USD,48708.26,48882.19,48590.6,48665.45,22.88491897,1113704.88
1640102400,12/21/2021 16:00,BTC/USD,48413.91,48765.62,48376.69,48689.1,91.76926058,4468162.705
1640098800,12/21/2021 15:00,BTC/USD,48678.41,48800.53,48307.34,48402.77,93.82280048,4541283.432
1640095200,12/21/2021 14:00,BTC/USD,48966.68,49000,48545.52,48654.38,69.91642273,3401740.2
1640091600,12/21/2021 13:00,BTC/USD,48764.62,48996.77,48619.12,48955.09,95.77419145,4688634.162
1640088000,12/21/2021 12:00,BTC/USD,48898.47,49353.49,48683.76,48755.26,131.9194115,6431765.207
1640084400,12/21/2021 11:00,BTC/USD,48662.16,48924.76,48600,48870,82.5699017,4035191.096
1640080800,12/21/2021 10:00,BTC/USD,48651.29,48799,48592.57,48681.91,39.20177435,1908417.251
1640077200,12/21/2021 9:00,BTC/USD,48594.79,48709.84,48460,48640.7,143.6822898,6988807.154
